date,hillir perak,kinta,perak tengah,larut matang selama,manjung,kuala kangsar,hulu perak,kerian,batang padang,muallim,kampar
18/4/2020,2,11,0,3,4,0,0,3,1,0,1
19/4/2020,2,11,0,3,4,0,0,3,1,0,1
20/4/2020,2,11,0,3,4,0,0,3,1,0,1
21/4/2020,2,7,0,2,0,0,0,2,1,0,1
22/4/2020,2,7,0,2,0,0,0,2,1,0,1
23/4/2020,2,7,0,2,0,0,0,2,1,0,1
24/4/2020,2,7,0,2,0,0,0,2,1,0,1
25/4/2020,2,7,0,2,0,0,0,2,1,0,1
26/4/2020,2,7,0,2,0,0,0,2,1,0,1
27/4/2020,0,3,0,2,1,0,0,0,0,0,1
28/4/2020,0,1,0,0,1,0,0,0,0,0,0
29/4/2020,0,1,0,0,1,0,0,0,0,0,0
30/4/2020,0,0,0,0,0,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0,0,0,0
4/5/2020,0,0,0,0,0,0,0,0,0,0,0
5/5/2020,0,0,0,0,0,0,0,0,0,0,0
6/5/2020,0,0,0,0,0,0,0,0,0,0,0
7/5/2020,0,0,0,0,0,0,0,0,0,0,0
8/5/2020,0,0,0,0,0,0,0,0,0,0,0
9/5/2020,0,0,0,0,0,0,0,0,0,0,0
10/5/2020,0,0,0,0,2,0,0,0,0,0,0
11/5/2020,0,0,0,0,2,0,0,0,0,0,0
12/5/2020,0,0,0,0,2,0,0,0,0,0,0
13/5/2020,0,0,0,0,2,0,0,0,0,0,0
14/5/2020,0,0,0,0,2,0,0,0,0,0,0
15/5/2020,0,0,0,0,2,0,0,0,0,0,0
16/5/2020,0,0,0,0,2,0,0,0,0,0,0
17/5/2020,0,0,0,0,2,0,0,0,0,0,0
18/5/2020,0,0,0,0,2,0,0,0,0,0,0
19/5/2020,0,0,0,0,2,0,0,0,0,0,0
20/5/2020,0,0,0,0,2,0,0,0,0,0,0
21/5/2020,0,0,0,0,2,0,0,0,0,0,0
22/5/2020,0,0,0,0,2,0,0,0,0,0,0
23/5/2020,0,0,0,0,2,0,0,0,0,0,0
24/5/2020,0,0,0,0,2,0,0,0,0,0,0
25/5/2020,0,0,0,0,2,0,0,0,0,0,0
26/5/2020,0,0,0,0,2,0,0,0,0,0,0
27/5/2020,0,0,0,0,2,0,0,0,0,0,0
28/5/2020,0,0,0,0,2,0,0,0,0,0,0
29/5/2020,0,0,0,0,0,0,0,0,0,0,0
30/5/2020,0,1,0,0,0,0,0,0,0,0,0
31/5/2020,0,1,0,0,0,0,0,0,0,0,0
1/6/2020,0,1,0,0,0,0,0,0,0,0,0
2/6/2020,0,1,0,0,0,0,0,0,0,0,0
3/6/2020,0,1,0,0,0,0,0,0,0,0,0
4/6/2020,0,1,0,0,0,0,0,0,0,0,0
5/6/2020,0,1,0,0,0,0,0,0,0,0,0
