date,batu pahat,johor bahru,kluang,kulai,mersing,muar,pontian,segamat,kota tinggi,tangkak
14/4/2020,46,68,76,18,2,37,8,15,19,9
15/4/2020,13,69,80,16,2,23,8,7,11,8
16/4/2020,12,69,85,16,2,24,8,7,12,8
17/4/2020,12,71,85,19,2,24,9,8,13,9
18/4/2020,13,75,86,23,2,23,9,12,15,9
19/4/2020,13,73,86,23,2,23,9,12,16,7
20/4/2020,13,72,86,23,2,24,9,12,16,7
21/4/2020,13,73,86,23,2,23,9,12,16,7
22/4/2020,13,75,86,23,2,24,9,12,16,7
23/4/2020,13,77,86,23,2,25,9,12,16,6
24/4/2020,13,80,85,23,2,26,9,12,16,5
25/4/2020,12,80,85,23,2,26,9,12,16,5
26/4/2020,12,83,85,23,2,26,9,12,16,5
27/4/2020,12,81,84,23,2,25,9,12,16,5
28/4/2020,12,82,84,22,2,25,9,12,16,5
29/4/2020,12,82,84,22,2,25,9,11,16,5
30/4/2020,12,84,77,22,2,25,9,11,16,5
1/5/2020,10,46,70,21,2,24,6,11,15,5
2/5/2020,10,86,68,20,2,24,6,10,16,5
3/5/2020,9,77,67,19,2,23,5,9,15,5
4/5/2020,7,76,64,19,1,23,5,9,15,5
5/5/2020,6,76,62,19,1,21,5,9,15,5
6/5/2020,6,75,58,19,1,18,5,8,13,5
7/5/2020,5,73,54,18,0,16,5,8,13,5
8/5/2020,5,65,49,17,0,15,5,7,12,5
9/5/2020,5,65,47,16,0,14,5,7,11,5
10/5/2020,5,64,41,15,0,14,5,7,11,5
11/5/2020,3,61,39,15,0,14,5,5,11,3
12/5/2020,3,60,37,15,0,13,5,4,9,2
13/5/2020,3,60,37,15,0,13,5,4,9,2
14/5/2020,3,60,37,13,0,13,5,4,9,2
15/5/2020,2,57,37,13,0,13,5,4,8,2
16/5/2020,2,56,36,13,0,12,5,3,8,2
17/5/2020,2,56,35,10,0,8,5,3,8,2
18/5/2020,2,23,36,13,0,12,5,3,7,2
19/5/2020,2,50,31,9,0,7,5,2,7,1
20/5/2020,2,48,31,9,0,7,5,2,7,1
21/5/2020,2,45,29,9,0,7,5,2,4,1
22/5/2020,1,34,28,7,0,7,3,2,4,1
23/5/2020,1,33,18,7,0,7,3,3,3,1
24/5/2020,1,33,18,7,0,7,3,1,3,1
25/5/2020,1,31,18,7,0,7,3,0,3,1
26/5/2020,1,30,17,7,0,7,3,0,3,1
27/5/2020,1,22,7,2,0,5,2,0,0,0
28/5/2020,1,18,5,2,0,4,2,0,0,0
29/5/2020,1,19,4,1,0,4,2,0,0,0
30/5/2020,1,17,4,1,0,4,2,0,0,0
31/5/2020,1,11,4,1,0,4,2,0,0,0
1/6/2020,1,9,1,1,0,4,0,0,0,0
2/6/2020,1,5,1,1,0,3,0,0,0,0
3/6/2020,1,5,0,1,0,2,0,0,0,0
4/6/2020,1,4,0,1,0,2,0,0,0,0
5/6/2020,1,3,0,1,0,2,0,0,0,0
6/6/2020,1,2,0,1,0,2,0,0,0,0
7/6/2020,1,2,0,1,0,2,0,0,0,0
8/6/2020,1,0,0,0,0,2,0,0,0,0
9/6/2020,1,0,0,0,0,2,0,0,0,0
10/6/2020,1,1,0,0,0,2,0,0,0,0
11/6/2020,1,1,0,0,0,2,0,0,0,0
12/6/2020,1,2,0,0,0,1,0,0,0,0
13/6/2020,1,4,0,0,0,1,0,0,0,0
14/6/2020,1,4,0,0,0,1,0,0,0,0
15/6/2020,1,7,0,0,0,0,0,0,0,0
16/6/2020,1,8,0,0,0,0,0,0,0,0
17/6/2020,1,8,0,0,0,0,0,0,0,0
18/6/2020,1,9,0,0,0,0,0,0,0,0
19/6/2020,1,9,0,0,0,0,0,0,0,0
20/6/2020,1,8,0,0,0,0,0,0,0,0
21/6/2020,1,9,0,0,0,0,0,0,0,0
22/6/2020,1,9,0,0,0,0,0,0,0,0
23/6/2020,0,9,0,0,0,0,0,0,0,0
24/6/2020,0,8,0,0,0,0,0,0,0,0
25/6/2020,0,8,1,0,0,0,0,0,0,0
26/6/2020,0,9,1,0,0,0,0,0,0,0
27/6/2020,0,9,1,0,0,0,0,0,0,0
28/6/2020,0,7,1,0,0,0,0,0,0,0
29/6/2020,0,1,1,0,0,0,0,0,0,0
30/6/2020,0,2,1,0,0,0,0,0,0,0
1/7/2020,0,2,1,0,0,0,0,0,0,0
2/7/2020,0,3,0,0,0,0,0,0,0,0
3/7/2020,0,3,0,0,0,0,0,0,0,0
4/7/2020,0,3,0,0,0,0,0,0,0,0
5/7/2020,0,3,0,0,0,0,0,0,0,0
6/7/2020,0,2,0,0,0,0,0,0,0,0
7/7/2020,0,3,0,0,0,0,0,0,0,0
8/7/2020,0,2,0,0,0,0,0,0,0,0
9/7/2020,0,0,0,0,0,0,0,0,0,0
10/7/2020,0,5,0,0,0,0,0,0,0,0
11/7/2020,0,7,0,0,0,0,0,0,0,0
12/7/2020,0,7,0,0,0,0,0,0,0,0
13/7/2020,0,0,0,0,0,0,0,0,0,0
14/7/2020,0,8,0,0,0,0,0,0,0,0
15/7/2020,0,8,0,0,0,0,0,0,0,0
16/7/2020,0,8,0,0,0,0,0,0,0,0
17/7/2020,0,6,0,0,0,0,0,0,0,0
18/7/2020,0,5,0,0,0,0,0,0,0,0
19/7/2020,0,5,0,0,0,0,0,0,0,0
20/7/2020,0,0,0,0,0,0,0,0,0,0
21/7/2020,0,3,13,0,0,0,0,0,1,0
22/7/2020,0,4,13,0,0,0,0,0,1,0
23/7/2020,0,5,13,0,0,0,0,0,1,0
24/7/2020,0,0,0,0,0,0,0,0,0,0
25/7/2020,0,13,17,0,0,0,0,0,1,0
26/7/2020,0,20,17,0,0,0,0,0,1,0
27/7/2020,0,0,0,0,0,0,0,0,0,0
28/7/2020,0,18,17,0,0,0,0,0,1,0
29/7/2020,0,19,17,0,0,0,0,0,1,0
30/7/2020,0,19,17,0,1,0,0,0,1,0
31/7/2020,0,21,17,0,1,0,0,0,2,0
1/8/2020,0,21,17,0,1,0,0,0,2,0
2/8/2020,0,0,0,0,0,0,0,0,0,0
3/8/2020,0,21,17,0,1,0,0,0,1,0
4/8/2020,0,21,17,0,0,0,0,0,1,0
5/8/2020,0,0,0,0,0,0,0,0,0,0
6/8/2020,0,21,17,0,0,0,0,0,1,0
7/8/2020,0,16,17,0,0,0,0,0,1,0
8/8/2020,0,5,5,0,0,0,0,0,1,0
9/8/2020,0,5,4,0,0,0,0,0,1,0
10/8/2020,0,6,5,0,0,0,0,0,1,0
11/8/2020,0,7,5,0,0,0,0,0,1,0
12/8/2020,0,8,4,0,0,0,0,0,1,0
13/8/2020,0,8,4,0,0,0,0,0,0,0
14/8/2020,0,6,4,0,0,0,0,0,0,0
15/8/2020,0,7,4,0,0,0,0,0,0,0
16/8/2020,0,0,0,0,0,0,0,0,0,0
17/8/2020,0,7,4,0,0,0,0,0,0,0
18/8/2020,0,0,0,0,0,0,0,0,0,0
19/8/2020,0,5,2,0,0,0,0,1,0,0
20/8/2020,0,5,2,0,0,0,0,1,0,0
21/8/2020,0,5,1,0,0,0,0,1,0,0
22/8/2020,0,5,1,0,0,0,0,1,0,0
23/8/2020,0,4,1,0,0,0,0,1,0,0
24/8/2020,0,0,0,0,0,0,0,0,0,0
25/8/2020,0,0,1,0,0,0,0,1,0,0
26/8/2020,0,0,0,0,0,0,0,1,0,0
27/8/2020,0,0,0,0,0,0,0,1,0,0
28/8/2020,0,0,0,0,0,0,0,1,0,0
29/8/2020,0,0,0,0,0,0,0,1,0,0
30/8/2020,0,0,0,0,0,0,0,1,0,0
31/8/2020,0,0,0,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0,0,0,0
3/9/2020,0,0,0,0,0,0,0,0,0,0
4/9/2020,0,1,0,0,0,0,0,0,0,0
5/9/2020,0,0,0,0,0,0,0,0,0,0
6/9/2020,0,1,0,0,0,0,0,0,0,0
7/9/2020,0,0,0,0,0,0,0,0,0,0
8/9/2020,0,0,0,0,0,0,0,0,0,0
9/9/2020,0,1,0,0,0,0,0,0,0,0
10/9/2020,0,0,0,0,0,0,0,0,0,0
11/9/2020,0,0,0,0,0,0,0,0,0,0
12/9/2020,0,0,0,0,0,0,0,0,0,0
13/9/2020,0,0,0,0,0,0,0,0,0,0
14/9/2020,0,0,0,0,0,0,0,0,0,0
15/9/2020,0,0,0,0,0,0,0,0,0,0
16/9/2020,0,0,0,0,0,0,0,0,0,0
17/9/2020,0,0,0,0,0,0,0,0,0,0
18/9/2020,0,0,0,0,0,0,0,0,0,0
19/9/2020,0,0,0,0,0,0,0,0,0,0
20/9/2020,0,0,0,0,0,0,0,0,0,0
21/9/2020,0,0,0,0,0,0,0,0,0,0
22/9/2020,0,0,0,0,0,0,0,0,0,0
23/9/2020,0,0,0,0,0,0,0,0,0,0
24/9/2020,0,0,0,0,0,0,0,0,0,0
25/9/2020,0,0,0,0,0,0,0,0,0,0
26/9/2020,0,3,0,0,0,0,0,0,0,0
27/9/2020,0,3,0,2,0,0,0,0,0,0
28/9/2020,0,3,0,2,0,0,0,0,0,0
29/9/2020,0,5,0,2,0,0,0,0,0,0
30/9/2020,0,12,0,3,0,0,0,0,0,0
1/10/2020,0,17,0,3,0,0,0,0,0,0
