Date,petaling,hulu-langat,gombak,klang,kuala-selangor,sepang,kuala-langat,sabak-bernam,hulu-selangor
22/8/2020,0,1,1,0,0,0,0,0,0
23/8/2020,0,1,1,0,0,0,0,0,0
24/8/2020,0,0,1,0,0,0,0,0,0
25/8/2020,1,0,1,0,0,0,0,0,0
26/8/2020,1,0,1,0,0,0,0,0,0
27/8/2020,1,0,1,0,0,0,0,0,0
28/8/2020,1,1,1,0,0,0,0,0,0
29/8/2020,1,1,1,0,0,0,0,0,0
30/8/2020,1,1,1,0,0,0,0,0,0
31/8/2020,1,1,0,1,0,0,0,0,0
1/9/2020,1,1,0,1,0,0,0,0,0
2/9/2020,1,1,0,2,0,0,0,0,0
3/9/2020,1,1,0,2,0,0,0,0,0
4/9/2020,1,3,0,2,0,0,0,0,0
5/9/2020,1,3,0,2,0,0,0,0,0
6/9/2020,1,3,0,2,0,0,0,0,0
7/9/2020,1,3,0,2,0,0,0,0,0
8/9/2020,0,3,0,2,0,0,0,0,0
9/9/2020,0,3,0,2,0,0,0,0,0
10/9/2020,0,3,0,2,0,0,0,0,0
11/9/2020,0,2,0,2,0,0,0,0,0
12/9/2020,0,2,0,2,0,0,0,0,0
13/9/2020,0,2,0,1,0,0,0,0,0
